2026-04-12 08:28:16|INFO    |root                            |Scheduler will use this timezone: Europe/Lisbon|
2026-04-12 08:28:17|INFO    |root                            |Interactive jobs queue started and waiting for tasks|
2026-04-12 08:28:17|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2026-04-12 08:28:17|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2026-04-12 08:28:17|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2026-04-12 08:28:17|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2026-04-12 08:28:17|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2026-04-12 08:28:17|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2026-04-12 09:46:22|INFO    |root                            |Scheduler will use this timezone: Europe/Lisbon|
2026-04-12 09:46:24|INFO    |root                            |Interactive jobs queue started and waiting for tasks|
2026-04-12 09:46:24|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2026-04-12 09:46:24|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2026-04-12 09:46:24|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2026-04-12 09:46:24|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2026-04-12 09:46:24|INFO    |root                            |BAZARR SignalR client for Sonarr is connected and waiting for events.|
2026-04-12 09:46:24|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
2026-04-12 09:48:53|INFO    |root                            |Scheduler will use this timezone: Europe/Lisbon|
2026-04-12 09:48:54|INFO    |root                            |Interactive jobs queue started and waiting for tasks|
2026-04-12 09:48:54|INFO    |root                            |BAZARR trying to connect to Sonarr SignalR feed...|
2026-04-12 09:48:54|INFO    |root                            |BAZARR trying to connect to Radarr SignalR feed...|
2026-04-12 09:48:54|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://***.***.***.***:6767|
2026-04-12 09:48:54|INFO    |waitress                        |BAZARR is started and waiting for requests on: http://[::]:6767|
2026-04-12 09:48:54|INFO    |root                            |BAZARR SignalR client for Radarr is connected and waiting for events.|
