Data Lanc.,Data Valor,Descrição,Valor,Saldo
02/01/2024,02/01/2024,TRF MB WAY P/ *****1195,-25.00,280.32
03/01/2024,03/01/2024,COMPRA 3799 PANIPROGRESSO LDA PALME CONTACTLESS,-5.45,274.87
04/01/2024,04/01/2024,TRF MB WAY P/ *****1195,-31.25,243.62
04/01/2024,04/01/2024,COMPRA 7341 SUPERMERCADOS AMARES,-71.69,171.93
04/01/2024,04/01/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1171.93
05/01/2024,05/01/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-17.04,1154.89
05/01/2024,05/01/2024,COMPRA 3799 EST SERVICO INTERMARCHE VILA PRADO,-79.63,1075.26
05/01/2024,05/01/2024,COMPRA 3799 INTERMARCHE VILA DE PRA CONTACTLESS,-16.67,1058.59
05/01/2024,05/01/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1858.59
09/01/2024,09/01/2024,COMPRA 3799 PINGO DOCE VILA VERD AB CONTACTLESS,-22.75,1835.84
11/01/2024,11/01/2024,COMPRA 3799 LIDL AGRADECE 4730-752  CONTACTLESS,-21.86,1813.98
11/01/2024,11/01/2024,"PAG SERV 21426/682025341 ALTICE PAY, S.A.",-45.44,1768.54
11/01/2024,11/01/2024,TRF MB WAY P/ *****1195,-25.00,1743.54
12/01/2024,12/01/2024,COMPRA 3799 EST SERVICO INTERMARCHE VILA PRADO,-162.39,1581.15
15/01/2024,15/01/2024,TRF MB WAY P/ *****8301,-17.6,1563.55
15/01/2024,15/01/2024,LEV ATM 3799 CCAM  AMARES        Cafe AO QUADRA,-20.00,1543.55
15/01/2024,15/01/2024,COMPRA 7341 SUPERMERCADOS AMARES,-36.94,1506.61
15/01/2024,15/01/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",506.61
17/01/2024,17/01/2024,COMPRA 3799 CONTINENTE BRAGA BRAGA  CONTACTLESS,-2.48,504.13
18/01/2024,18/01/2024,COMPRA 3799 LIDL AGRADECE 4730-752  CONTACTLESS,-5.85,498.28
19/01/2024,19/01/2024,COMPRA 3799 DEGEMA CAFE BRAGA PT    CONTACTLESS,-23.3,474.98
19/01/2024,19/01/2024,COMPRA 3799 NORMALAS BRAGA NOVA ARC CONTACTLESS,-12.6,462.38
19/01/2024,19/01/2024,COMPRA 3799 PIZZARIA MOSTEIRO SOUTE CONTACTLESS,-9.6,452.78
22/01/2024,22/01/2024,DD PT67106686 GOLD ENERGY - C 00302213,-85.02,367.76
22/01/2024,22/01/2024,TRF MB WAY P/ *****1195,-31.25,336.51
22/01/2024,22/01/2024,TRF MB WAY P/ *****8301,-15.2,321.31
22/01/2024,22/01/2024,COMPRA 7341 CONTINENTE BRAGA BRAGA,-21.64,299.67
23/01/2024,23/01/2024,"DD PT73101243 MEO, SA         30329005452",-34.49,265.18
23/01/2024,23/01/2024,COMPRA 3799 A11 FONTE BOA PT        CONTACTLESS,-2.9,262.28
23/01/2024,23/01/2024,COMPRA 3799 A11 SOUTELINHO PT       CONTACTLESS,-2.9,259.38
23/01/2024,23/01/2024,COMPRA 3799 REST GUARDA SOL P VOA D CONTACTLESS,-4.5,254.88
23/01/2024,23/01/2024,COMPRA 3799 EST SERVICO POSTO 2 PALMEIRA PALMEI,-40.00,214.88
23/01/2024,23/01/2024,COMPRA 3799 MERCADONA REAL PT       CONTACTLESS,-92.89,121.99
23/01/2024,23/01/2024,COMPRA 3799 CAFE GUARDA SOL 4490-40 CONTACTLESS,-29.1,92.89
29/01/2024,29/01/2024,COMPRA 7341 BOCA MALDITA VILA DE PRADO,-13.7,79.19
29/01/2024,29/01/2024,COMPRA 7341 BOCA MALDITA VILA DE PRADO,-2.00,77.19
29/01/2024,29/01/2024,"COMPRA 7341 MAXEMBLEMA,LDA BESTEIROS",-36.8,40.39
02/02/2024,02/02/2024,"COMPRA 3799 AGROBRICMAT, LDA CAIRES CONTACTLESS",-4.85,35.54
05/02/2024,05/02/2024,TRF MB WAY P/ *****8301,-29.3,6.24
05/02/2024,05/02/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1006.24
06/02/2024,06/02/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1806.24
06/02/2024,06/02/2024,COMPRA 7341 FARMACIA LOUREIRO 4700-690 PALMEIRA,-16.97,1789.27
12/02/2024,12/02/2024,COMPRA 7341 SUPERMERCADOS AMARES,-77.31,1711.96
12/02/2024,12/02/2024,COMPRA 7341 EST SERVICO PRIO ENERGY SA APARTADO,-9.00,1702.96
12/02/2024,12/02/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-4.2,1698.76
12/02/2024,12/02/2024,"PAG SERV 21426/169426706 ALTICE PAY, S.A.",-55.66,1643.1
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-23.00,1620.1
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-28.43,1591.67
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-34.4,1557.27
